Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2021,4,0,27.44,43.81,2,1,1,2,9,1,6,1,10,7
2023,8,1,25.54,54.68,2,9,1,6,8,0,2,1,5,1
2023,4,0,39.99,13.29,0,8,1,5,6,0,9,0,1,5
2023,6,1,22.14,33.13,2,3,1,4,10,0,8,1,10,7
2023,3,0,47.91,19.91,0,6,0,9,7,1,2,1,3,7
2023,3,1,31.01,54.61,1,8,0,4,2,1,9,1,1,2
2024,3,1,47.46,23.96,1,2,0,4,8,1,10,0,2,2
2022,7,1,18.88,53.46,1,10,1,10,7,1,3,0,1,9
2020,1,1,48.4,24.73,0,8,0,10,10,0,6,1,8,5
2024,9,2,16.5,25.79,2,1,1,8,2,0,7,0,8,10
2024,7,0,35.29,19.57,1,9,1,3,8,1,10,0,4,5
2023,7,0,49.78,11.12,0,9,0,3,3,0,9,0,1,5
2021,5,0,48.08,19.88,1,3,0,2,9,1,4,0,7,6
2023,9,0,10.47,18.35,2,9,1,7,7,0,7,0,4,9
2023,0,2,44.49,68.47,1,6,0,7,8,0,3,0,9,8
2021,4,1,46.26,24.07,1,6,0,4,10,0,5,0,1,4
2020,1,1,34.16,21.63,1,10,1,8,1,0,3,1,4,4
2020,3,1,32.35,51.69,2,3,1,9,6,1,10,1,9,5
2022,8,1,26.91,25.47,2,4,0,6,6,1,9,0,5,9
2023,2,0,32.89,15.28,0,9,1,9,7,1,7,1,4,3
2020,3,2,28.04,66.42,0,6,1,3,2,0,3,1,3,1
2021,7,1,21.86,11.57,0,2,1,4,5,1,2,1,4,7
2024,1,0,18.24,68.96,0,10,1,7,4,0,2,1,2,9
2020,0,0,15.46,50.41,2,6,0,3,1,1,5,1,2,1
2024,7,0,36.21,59.16,1,3,0,7,4,1,9,0,10,8
2022,7,2,6.51,16.46,0,8,0,4,7,1,10,0,5,10
2020,7,2,13.65,18.04,1,4,0,9,7,0,6,1,6,9
2021,8,1,15.6,63.29,2,8,0,2,7,1,7,1,1,6
2022,2,2,44.07,57.46,0,9,1,8,8,1,10,0,6,4
2023,7,0,19.57,66.09,2,10,1,8,1,0,6,0,1,8
2021,7,1,17.6,34.42,0,3,1,3,1,1,4,1,2,5
2024,8,1,48.84,64.49,1,7,0,6,6,0,10,0,8,8
2023,8,0,21.69,39.35,0,7,1,4,3,0,9,0,8,2
2023,2,0,37.54,63.22,2,7,0,5,1,1,2,1,1,4
2022,1,2,38.7,53.72,0,3,1,5,2,0,10,0,1,8
2022,1,0,15.69,55.69,1,4,1,9,5,1,1,0,8,9
2020,8,0,17.35,42.58,0,1,1,7,5,0,4,1,1,1
2023,0,1,16.49,34.43,0,7,1,7,8,1,6,0,7,2
2021,3,0,12.68,56.99,1,3,1,9,1,1,3,0,9,6
2020,6,1,45.09,11.87,0,3,1,9,7,0,2,0,2,3
2021,0,0,37.41,22.99,2,3,1,5,10,1,6,0,1,8
2023,3,1,21.29,13.79,2,10,1,1,4,0,5,1,1,10
2023,4,0,9.07,38.43,0,10,1,9,4,0,3,1,3,10
2024,5,1,27.42,43.97,2,6,1,9,3,0,4,1,10,7
2021,5,1,47.67,62.45,2,1,1,8,7,1,5,1,4,2
2021,9,0,32.4,69.21,1,6,1,8,4,1,6,1,3,8
2022,6,2,43.3,69.03,2,3,0,10,2,0,6,1,9,3
2024,6,2,46.43,48.61,2,5,1,3,10,1,1,1,6,4
2022,5,2,12.31,66.84,2,7,0,1,7,1,3,1,9,2
2024,0,2,42.32,53.23,2,9,0,1,1,0,9,1,1,6
2023,8,2,43.42,24.05,1,7,0,8,1,0,6,1,7,7
2023,3,1,12.84,62.05,0,1,0,4,8,1,5,0,9,4
2024,6,1,40.06,25.7,1,2,0,5,7,0,4,1,6,8
2021,4,2,10.73,62.46,2,9,0,3,4,1,7,1,1,9
2024,5,0,36.57,23.75,1,5,1,2,7,1,7,1,2,8
2023,2,2,47.1,42.39,2,10,0,6,2,1,5,1,4,9
2021,3,1,8.95,29.03,0,8,0,3,4,0,2,1,7,3
2022,5,1,23.4,62.19,1,4,0,2,5,1,4,0,2,6
2023,0,1,21.58,47.48,2,8,1,10,9,1,5,1,10,5
2020,8,1,42.04,53.8,2,10,1,2,6,1,3,0,3,5
2024,6,0,44.06,59.42,0,7,0,2,3,0,8,0,8,8
2022,1,0,10.37,56.98,1,7,1,5,1,0,5,1,6,5
2020,2,0,41.89,23.7,1,1,1,10,4,0,10,1,3,9
2024,3,0,15.9,67.05,0,1,0,6,7,0,7,0,7,4
2020,7,2,42.47,61.03,2,3,1,9,1,0,3,1,3,3
2024,4,1,25.49,35.81,2,3,0,8,1,0,1,1,9,7
2024,2,0,11.59,25.03,2,4,1,10,7,1,1,1,3,4
2024,0,2,37.64,35.53,1,3,0,6,6,0,2,0,7,2
2024,5,0,41.33,27.78,0,9,1,7,4,1,8,1,7,9
2022,2,0,31.46,25.53,1,5,1,6,7,1,5,0,4,10
2024,1,0,33.59,47.62,1,2,1,3,6,0,8,1,1,7
2021,1,0,20.13,43.78,2,9,1,9,2,1,9,1,3,4
2021,9,0,42.36,25.81,0,8,1,7,1,0,8,1,6,1
2022,9,1,23.57,40.05,1,8,1,2,2,0,3,0,6,1
2022,2,0,17.64,49.97,2,8,1,1,10,0,2,0,2,3
2022,4,2,46.46,51.51,0,1,0,3,2,0,1,1,1,6
2024,0,1,46.95,20.51,0,2,1,5,4,1,8,0,3,9
2023,8,2,44.26,60.47,0,5,1,9,9,1,3,1,10,9
2022,1,0,6.4,58.93,1,5,1,8,8,0,10,1,4,4
2024,7,0,28.27,10.7,2,4,1,2,9,1,6,0,9,5
2023,7,1,47.73,28.02,1,4,0,9,6,1,7,1,2,8
2024,9,0,36.47,24.21,0,5,0,3,8,0,7,1,5,2
2023,3,2,9.08,27.69,0,2,1,8,6,0,9,0,2,2
2024,6,0,28.23,11.85,1,5,0,6,8,1,2,1,10,2
2020,3,0,23.25,40.68,2,3,1,1,2,0,8,0,9,7
2023,4,2,10.23,45.32,0,2,1,5,5,1,8,0,3,9
2024,6,0,27.5,27.31,1,3,0,8,3,1,1,0,1,6
2021,5,0,36.14,66.72,1,4,0,9,8,1,5,1,5,4
2023,4,1,25.42,57.8,2,9,1,4,3,1,1,1,9,5
2020,3,1,14.17,11.3,2,6,1,1,5,0,3,0,10,1
2021,1,2,23.74,30.15,1,1,1,1,6,0,7,1,3,3
2023,8,1,46.31,22.28,0,10,0,5,2,1,9,1,1,3
2023,0,1,35.42,22.07,1,5,0,2,9,1,5,0,7,5
2020,1,1,16.26,60.73,2,5,1,10,3,0,5,1,7,5
2021,7,2,20.16,30.6,1,9,0,10,7,1,3,1,9,7
2021,8,2,49.36,43.08,1,3,1,10,1,0,8,1,7,5
2020,6,0,30.36,37.09,1,1,1,8,7,1,3,1,2,10
2021,3,0,13.11,55.6,0,5,1,7,6,0,3,1,4,6
2021,8,0,7.01,10.42,2,1,0,6,6,1,8,1,6,7
2022,5,1,18.35,56.88,1,6,0,2,4,0,6,0,7,6
2024,1,2,36.4,19.54,0,6,1,2,6,1,10,1,4,4
2023,0,2,27.02,64.15,1,5,1,9,7,1,7,0,8,10
2021,7,2,30.73,31.8,0,7,0,2,7,1,3,1,5,9
2024,9,2,17.21,54.42,1,7,1,9,2,1,9,1,2,3
2024,7,1,16.44,50.91,0,7,0,10,4,0,3,0,6,8
2023,8,2,12.15,33.12,2,6,1,10,2,1,6,1,10,9
2024,7,1,9.47,48.49,2,3,1,3,3,0,10,1,1,5
2020,3,0,21.66,31.01,0,10,0,1,7,1,8,1,5,5
2023,1,1,43.12,10.08,0,5,0,3,1,0,6,1,7,4
2023,6,2,7.43,33.45,0,8,1,10,9,0,5,1,10,2
2021,5,0,31.63,40.27,2,10,1,10,5,1,10,0,7,2
2022,2,2,47.7,22.01,2,1,0,10,1,0,9,1,8,4
2023,4,2,35.5,17.82,1,6,1,10,4,1,1,1,2,9
2020,9,1,44.77,31.57,1,2,1,3,7,0,4,0,2,1
2021,5,2,30.77,36.26,0,5,1,2,2,0,1,0,9,4
2021,7,1,13.56,69.24,0,5,0,4,6,0,1,1,9,3
2022,9,2,35.73,30.68,1,3,1,3,4,1,9,0,9,9
2024,2,2,39.21,23.56,2,8,1,5,1,0,10,1,1,8
2023,8,0,42.69,63.01,1,1,0,10,6,1,4,1,2,6
2023,3,0,27.92,44.08,0,3,1,2,2,1,5,1,3,1
2024,2,2,46.55,48.27,2,2,0,10,1,0,4,1,8,10
2023,8,2,13.61,64.12,2,7,0,3,9,0,1,0,1,10
2023,5,0,43.62,22.4,2,10,0,2,4,1,9,0,1,7
2024,5,2,5.8,47.73,0,3,0,3,4,0,5,1,5,7
2024,1,1,37.67,25.38,1,10,0,9,2,1,10,1,5,5
2020,6,2,18.24,10.07,1,2,1,4,2,0,10,0,8,2
2020,5,1,38.12,52.6,0,10,0,6,10,1,9,0,9,5
2020,0,0,26.52,29.79,1,2,1,5,5,0,4,1,4,2
2020,1,2,14.93,45.02,2,4,0,6,5,1,4,0,1,3
2024,2,2,37.98,17.58,1,1,0,2,1,0,7,1,4,2
2021,5,2,9.58,13.31,1,1,1,1,5,1,9,1,6,9
2022,4,0,38.81,66.79,1,7,0,2,9,0,9,1,4,5
2020,7,0,27.09,23.12,0,8,0,1,5,1,10,0,1,2
2022,9,2,35.1,36.97,1,3,0,9,5,0,8,1,1,7
2020,9,2,15.85,66.74,0,3,0,1,2,0,6,0,2,6
2022,3,2,11.04,54.97,1,4,0,6,8,0,7,1,9,2
2024,3,2,33.11,35.66,2,3,0,7,8,1,3,0,1,7
2024,6,1,17.78,50.79,1,8,1,3,4,1,4,1,3,9
2020,1,2,20.29,41.93,2,5,0,8,6,1,8,0,4,8
2024,9,0,49.42,38.21,0,1,0,2,10,1,8,1,1,1
2022,1,2,23.34,61.88,1,1,1,5,7,0,7,0,7,3
2022,9,0,43.33,35.73,0,9,0,3,3,0,7,0,9,4
2022,3,0,37.28,57.75,1,3,1,1,4,1,9,1,6,1
2022,6,2,8.86,54.8,0,4,0,3,6,0,7,1,6,3
2021,3,1,38.44,20.96,0,8,0,6,2,0,5,1,4,1
2021,9,2,44.22,18.0,2,10,0,5,1,0,6,1,5,4
2021,9,0,29.89,58.65,2,1,1,1,10,0,8,0,9,9
2020,2,0,44.87,66.02,2,10,1,7,5,0,8,0,8,5
2021,6,2,18.09,28.22,2,10,0,10,2,0,7,1,9,4
2022,1,0,15.61,16.48,1,8,0,9,3,0,6,1,8,7
2020,1,0,43.68,11.0,2,6,0,6,5,0,1,0,2,7
2022,9,2,11.1,46.57,0,4,1,4,7,0,3,0,4,4
2020,9,2,25.58,12.78,1,1,1,2,10,1,8,0,4,8
2020,0,0,12.25,13.93,2,10,0,3,2,0,6,1,5,4
2024,1,1,19.95,45.71,1,10,1,6,8,0,6,0,1,3
2020,8,2,41.9,65.59,2,4,0,10,5,1,1,0,5,7
2021,0,0,27.2,18.45,2,9,0,2,2,1,10,0,8,4
2023,1,2,19.8,10.52,1,5,1,5,10,1,2,0,4,3
2022,5,2,11.1,47.17,2,7,0,4,5,1,9,1,3,5
2021,6,1,28.92,46.39,2,7,1,2,7,1,2,0,4,5
2024,6,0,34.4,32.16,1,2,1,2,5,1,7,0,7,6
2021,0,2,41.98,29.75,1,8,0,6,3,0,7,0,5,2
2022,1,1,23.24,64.76,1,1,0,1,3,0,6,1,10,3
2023,2,0,43.48,10.29,1,3,1,6,9,0,7,1,4,3
2022,7,1,23.3,38.17,2,2,1,10,3,1,10,1,8,10
2023,9,2,15.12,67.42,1,6,0,3,7,1,8,0,1,5
2022,3,2,26.38,16.28,1,1,0,5,7,0,6,0,6,5
2020,1,0,38.89,43.5,2,8,0,8,5,1,6,0,2,2
2023,5,1,37.22,41.54,0,2,1,10,3,0,7,1,8,10
2022,9,2,26.3,40.28,0,8,0,6,4,1,7,1,6,4
2023,3,2,47.33,59.92,0,5,1,6,5,1,3,0,8,7
2022,7,0,29.49,41.58,2,9,0,1,8,1,9,0,6,4
2023,4,2,38.21,60.14,1,2,0,4,3,0,5,0,6,10
2022,7,2,30.09,58.77,1,7,1,3,4,1,2,0,4,7
2020,4,0,23.97,53.77,0,9,0,3,6,1,3,0,8,3
2022,3,2,20.55,45.75,1,3,1,2,1,1,6,0,10,8
2023,1,2,6.1,59.69,1,6,1,7,8,1,4,1,4,10
2023,3,1,33.05,28.72,2,10,1,7,9,1,2,0,1,3
2024,9,1,6.16,50.85,0,10,0,10,6,1,8,0,7,3
2022,7,1,44.18,22.5,2,1,1,9,9,0,2,1,9,2
2022,8,2,26.52,11.28,2,3,0,6,5,1,9,0,1,4
2023,7,1,19.48,19.59,0,5,0,7,8,0,8,0,8,3
2024,8,2,28.55,65.15,1,9,1,7,1,1,10,1,4,4
2020,8,0,40.91,47.37,1,3,0,6,3,1,4,1,3,6
2021,3,1,18.92,33.42,1,4,1,5,2,0,7,0,3,9
2023,7,2,37.05,36.56,1,2,1,1,3,0,5,1,10,8
2024,4,1,48.56,56.16,2,5,1,9,1,0,7,0,6,2
2022,1,1,14.46,38.84,1,3,1,4,1,1,8,1,5,5
2024,7,1,19.32,26.5,1,9,1,2,9,1,2,0,7,6
2021,8,0,27.47,58.78,1,5,1,1,1,1,4,0,5,5
2021,9,2,10.66,21.58,0,6,0,10,5,1,2,1,2,9
2023,7,1,11.71,36.93,2,3,0,4,3,1,7,0,4,9
2024,5,0,43.7,57.79,2,1,0,1,7,0,4,1,4,6
2022,6,2,17.71,46.41,1,2,0,3,10,1,8,0,2,2
2020,7,2,9.92,22.38,1,2,0,5,6,0,8,1,9,8
2024,3,0,31.52,62.32,2,10,1,5,6,1,10,0,4,8
2021,3,0,35.36,59.71,0,5,1,3,4,0,8,1,8,5
2023,6,1,12.98,24.1,0,8,0,7,8,0,8,1,5,2
2021,5,2,6.33,11.46,0,9,0,8,8,1,4,0,2,3
2022,5,1,47.6,46.61,0,8,0,6,8,0,8,1,6,1
2023,7,0,42.98,33.52,1,6,1,5,6,1,5,0,3,7
2024,5,0,17.1,17.83,1,5,0,7,5,1,6,0,8,2
2022,7,2,44.96,30.38,1,9,1,4,3,0,3,0,5,10
2022,4,0,10.66,27.34,0,3,1,5,2,1,4,0,3,2
2022,4,1,24.82,60.52,0,5,0,7,9,0,8,0,9,3
2024,7,2,14.81,40.72,1,3,1,9,7,1,2,1,10,5
2024,2,0,9.64,41.54,1,5,1,7,2,1,10,0,3,4
2024,6,2,29.27,46.58,0,2,0,9,3,0,1,1,2,9
2023,7,2,45.69,16.4,0,1,1,7,10,1,9,1,9,2
2020,5,1,38.78,35.27,0,3,0,5,5,0,7,1,4,8
2020,7,1,10.78,49.89,1,3,1,3,5,1,3,1,10,2
2023,0,0,39.94,13.85,2,5,1,2,3,0,1,0,4,3
2023,1,2,23.66,10.7,1,7,1,4,10,1,8,1,9,1
2024,2,1,6.0,12.22,0,8,0,7,8,1,8,0,1,3
2021,5,2,12.29,25.11,0,8,0,2,2,1,5,1,10,4
2021,6,1,16.62,68.37,2,5,0,7,4,1,5,0,1,8
2024,9,2,19.59,26.32,2,6,1,1,5,1,5,1,9,5
2020,7,1,9.42,64.99,0,10,0,1,5,0,5,0,1,10
2021,9,2,24.91,37.11,2,3,0,7,10,1,8,0,3,1
2023,2,0,41.68,58.48,0,10,0,2,6,1,3,1,5,6
2023,0,1,41.92,65.24,0,1,1,7,2,1,9,1,2,7
2022,9,0,33.26,20.58,0,5,1,3,8,1,3,1,2,3
2022,8,2,37.31,29.82,1,6,0,9,8,0,1,1,10,7
2023,6,1,10.39,33.21,2,1,1,3,2,1,2,0,7,1
2024,7,1,11.99,17.02,2,5,1,2,10,1,5,0,10,5
2023,8,0,24.51,11.28,0,7,0,3,5,1,1,0,10,8
2020,3,1,36.47,25.8,1,3,1,1,9,0,10,1,8,4
